Affiliation,Archaeology Index,Notes
"""Emil Racoviţă"" Institute of Speleology, 010986 Bucharest 12, Romania",0.50,
"""Emil Racoviţă"" Institute of Speleology, Cluj Branch, 400006 Cluj, Romania",0.50,
\N,0.50,
"“Vasile Pârvan” Institute of Archaeology, 010667 Bucharest, Romania",1.00,
"23rd Ephorate of Prehistoric and Classical Antiquities, Herakleion, 71202, Crete",1.00,
"26th Ephorate of Prehistoric and Classical Antiquities, Greek Ministry of Culture, Piraeus, 13536, Greece",1.00,
"A.Kh. Margulan Institute of Archaeology, Almaty 050010, Kazakhstan",1.00,
"Aarhus University, Aarhus, Denmark",0.50,
"Abteilung Madrid, Deutsches Archaeologisches Institut, E-28002 Madrid, Spain",1.00,
"Afrosiab Museum, Samarkand 140151, Uzbekistan",1.00,
"Aktobe Regional Historical Museum, Aktobe 030006, Kazakhstan",1.00,
"Al Akhawayn University in Ifrane (AUI), School of Science and Engineering, Ifrane 53000, Morocco",0.25,
"Albion Archaeology, Bedford, MK42 0AS, UK",1.00,
"Al-Farabi Kazakh National University, Almaty 050040, Kazakhstan",0.50,
"Allen Institute for Brain Science, Seattle, Washington 98103, USA",0.75,
"Altai State University, Barnaul, RU-656049, Russia",0.50,
"Altius Institute for Biomedical Sciences, Seattle, 98121, Washington, USA",0.75,
"Amgen, 33 Kazantzaki Str, Ilioupolis 16342, Athens, Greece (T.L.)",0.00,
"ANO Laboratory of Prehistory 14 Linia 3-11, St. Petersburg 1990 34, Russia",1.00,
"ANTEA Bureau d'étude en Archéologie, Habsheim, 68440, France",1.00,
"ANTEA-Archéologie, 68440 Habsheim, France",1.00,
"AnthroArch GbR, 82284 Grafrath, Germany",1.00,
"anthropol - Anthropologieservice, Hechingen, 72379, Germany",1.00,
"Anthropological Center, Croatian Academy of Sciences and Arts, Zagreb, 10000, Croatia",1.00,
"Anthropologie Moléculaire et Imagerie de Synthèse, CNRS UMR 5288, Université Paul Sabatier Toulouse III, Toulouse 31000, France",0.00,
"Anthropology Department, Hartwick College, Oneonta, 13820, New York, USA",1.00,
"Anthropology Department, Hartwick College, Oneonta, New York 13820, USA",1.00,
"Anthropology Department, Hartwick College, Oneonta, NY 13820, USA",1.00,
"Anthropology Department, University of Utah, USA",1.00,
"ARC Centre of Excellence for Mathematical and Statistical Frontiers, School of Mathematical Sciences, The University of Adelaide, Adelaide, SA 5005, Australia",0.25,
"ARC Centre of Excellence for Mathematical and Statistical Frontiers, University of Adelaide, Adelaide, South Australia, Australia",0.25,
"Archaeological Expertise LLP, Almaty 050060, Kazakhstan",1.00,
"Archaeological Institute, University of Zurich, Zurich, CH-8006, Switzerland",1.00,
"Archaeological Museum of Istria, Pula, 52100, Croatia",1.00,
"Archaeological Museum of Macedonia, 1000 Skopje, the former Yugoslav Republic of Macedonia",1.00,
"Archaeological Office of the District of Constance, Konstanz, Germany",1.00,
"Archaeological Research Collection, School of Humanities, Tallinn University, Tallinn 10130, Estonia",1.00,
"Archaeological Research Collection, Tallinn University, 10130, Tallinn, Estonia",1.00,
"Archaeological Research Laboratory, Stockholm University, 114 18 Stockholm, Sweden,",1.00,
"Archaeological Research Laboratory, Stockholm University, 114 18, Sweden",1.00,
"Archaeological Research Laboratory, Stockholm University, 11418, Stockholm, Sweden",1.00,
"Archaeological Research Services Ltd, Bakewell, DE45 1HB, UK",1.00,
"Archaeological Service of the canton of Bern, Bern, Switzerland",1.00,
"Archaeological Society “ARGO”, Cracow, Poland",1.00,
"Archaeological Studio Mirosław Mazurek, Rzeszów, Poland",1.00,
"Archaeological Superintendence of Lombardy, Milano, 20123, Italy",1.00,
"Archaeology Institute, University of Highlands and Islands, Scotland, UK",1.00,
"Archaeology of Asia Department, ISMEO - International Association of Mediterranean and Oriental Studies, Rome RM00186, Italy",1.00,
"Archaeom, Departament de Prehistòria, Universitat Autònoma de Barcelona, Cerdanyola del Vallès, 08193, Spain",1.00,
"Archaeom. Departament de Prehistòria, Universitat Autònoma de Barcelona, Cerdanyola del Vallès, Spain",1.00,
"ArchaeoScience, GLOBE Institute, University of Copenhagen, Copenhagen, Denmark",1.00,
"Área de Genética, Facultad de Ciencias, Universidad de Málaga, Málaga, Spain",0.00,
"Área de Prehistoria, Universidad de Murcia, Murcia, 30001, Spain",1.00,
"Area de Prehistoria, Universitat Rovira i Virgili (URV), 43002 Tarragona, Spain",1.00,
"Àrea de Prehistòria, Universitat Rovira i Virgili (URV), Tarragona, Spain",1.00,
"ARGEA Consultores SL, C. de San Crispín, Madrid, Spain",1.00,
"ARGEA S.L., Madrid, 28011, Spain",1.00,
"ARL Division of Biotechnology, University of Arizona, Tucson, 85721, Arizona, USA",0.00,
"Arqueología y Gestión S.L.L., Fuentes de Andalucia, Spain",1.00,
"Arqueovitis sccl., Avinyonet del Penedès, Spain",1.00,
"Ásatárs Ltd., 6000 Kecskemét, Hungary",1.00,
"Australian Centre for Ancient DNA and Environment Institute, School of Earth and Environmental Sciences, University of Adelaide, Adelaide, 5005, South Australia, Australia",0.00,
"Australian Centre for Ancient DNA, School of Biological Sciences &Environment Institute, University of Adelaide, Adelaide, South Australia 5005, Australia",0.00,
"Australian Centre for Ancient DNA, School of Biological Sciences, The University of Adelaide, Adelaide, SA-5005, South Australia, Australia",0.00,
"Australian Centre for Ancient DNA, School of Biological Sciences, The University of Adelaide, SA-5005 Adelaide, Australia",0.00,
"Australian Centre for Ancient DNA, School of Biological Sciences, University of Adelaide, Adelaide, 5005, South Australia, Australia",0.00,
