CitationID,Name,Affiliation
allen2015a,"Ahlström, Torbjörn","Department of Archaeology and Ancient History, Lund University, Lund, 221 00, Sweden"
allen2015a,"Allentoft, Morten E.","Centre for GeoGenetics, Natural History Museum, University of Copenhagen, Øster Voldgade 5-7, 1350, Copenhagen K, Denmark"
allen2015a,"Margaryan, Ashot","Centre for GeoGenetics, Natural History Museum, University of Copenhagen, Øster Voldgade 5-7, 1350, Copenhagen K, Denmark"
allen2015a,"Baron, Justyna","Institute of Archaeology, University of Wrocław, Wrocław, 50-139, Poland"
allen2015a,"Brunak, Søren","Department of Systems Biology, Center for Biological Sequence Analysis, Technical University of Denmark, Kgs Lyngby, 2800, Denmark"
allen2015a,"Brunak, Søren","Novo Nordisk Foundation Center for Protein Research, University of Copenhagen, Copenhagen, 2200, Denmark"
allen2015a,"Chivall, David","Oxford Radiocarbon Accelerator Unit, University of Oxford, Oxford, OX1 3QY, UK"
allen2015a,"Dąbrowski, Paweł","Department of Anatomy, Wrocław Medical University, Wrocław, 50-368, Poland"
allen2015a,"Damgaard, Peter B.","Centre for GeoGenetics, Natural History Museum, University of Copenhagen, Øster Voldgade 5-7, 1350, Copenhagen K, Denmark"
allen2015a,"Della Casa, Philippe","Archaeological Institute, University of Zurich, Zurich, CH-8006, Switzerland"
allen2015a,"Duffy, Paul R.","Department of Anthropology, University of Toronto, Toronto, ONM5S 2S2, Canada"
allen2015a,"Ebel, Alexander V.","Department of Archeology and General History, Gorno-Altaisk State University, Gorno-Altaisk, 649000, Russia"
allen2015a,"Epimakhov, Andrey","Institute of History and Archaeology RAS (South Ural Department), South Ural State University, Chelyabinsk, 454080, Russia"
allen2015a,"Frei, Karin","Environmental Research and Material Science and Centre for Textile Research, The National Museum of Denmark, Copenhagen K, 1471, Denmark"
allen2015a,"Furmanek, Mirosław","Institute of Archaeology, University of Wrocław, Wrocław, 50-139, Poland"
allen2015a,"Gralak, Tomasz","Institute of Archaeology, University of Wrocław, Wrocław, 50-139, Poland"
allen2015a,"Gromov, Andrey","Peter the Great Museum of Anthropology and Ethnography (Kunstkamera) RAS, St Petersburg, 199034, Russia"
allen2015a,"Gronkiewicz, Stanisław","Department of Anthropology, Polish Academy of Sciences, Wrocław, 50–449, Poland"
allen2015a,"Grupe, Gisela","Biocentre of the Ludwig-Maximilian-University München, Munich, 82152, Germany"
