aDNAID,CitationID,Country,Resampled,Site description,Multiple names,Geolocation,Overall chronology,Sample chronology,References,Culture,IndividualID,Anthropological sex,Anthropological age,Grave,Body positioning,Body arrangement,Grave goods,14C,Images,notes,...22
Darra.I.Kur (Darra.I.Kur_d),naras2019a,Afghanistan,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,"""Originally thought to be associated with the Mousterian level, following recent direct radiocarbon dating and mitochondrial DNA analyses the bone is now believed to belong to a Neolithic male individual (78).""; includes a full description",NA
AR1/43c (I1631),lazar2016a,Armenia,0,1,0,1,1,1,1,0,1,0,1.2,0,0,0,0,1,0,NA,NA
AR1/44 (I1634),lazar2016a,Armenia,0,1,0,1,1,1,1,0,1,0,1.2,0,0,0,0,1,0,NA,NA
AR1/46 (I1632),lazar2016a,Armenia,0,1,0,1,1,1,1,0,1,0,1.2,0,0,0,0,1,0,NA,NA
ARE12 (I1407),lazar2016a,Armenia,0,1,0,1,1,1,1,0,1,0,0.1,0,0,0,0,0,0,NA,NA
ARE20 (I1409),lazar2016a,Armenia,0,1,0,1,1,1,1,0,1,0,0.1,0,0,0,0,0,0,NA,NA
KA1/12 (I1635),lazar2016a,Armenia,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA
KA1/14 (I1633),lazar2016a,Armenia,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1.1,1,0,NA,NA
KAT16 (I1656),lazar2016a,Armenia,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,NA,NA
RISE396,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,1,0,0,0,1,0,NA,NA
RISE397,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,1,0,0,0,1,0,NA,NA
RISE407,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,0,0,0,0,1,0,NA,NA
RISE408,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,0,0,0,0,1,0,NA,NA
RISE412,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,0,0,0,0,1,0,NA,NA
RISE413,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,0,0,0,0,1,0,NA,NA
RISE416,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,0,0,0,0,1,0,NA,NA
RISE423,allen2015a,Armenia,0,0,0,0,0,1,0,0,1,1,1.1,0,0,0,0,1,0,NA,NA
TA3/R8 (I1658),lazar2016a,Armenia,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,NA,NA
NEO110,allen2024a,Armenia,0,1,0,1,1,1,1,0,1,0,1.1,0,0,0,0,1,0,NA,NA
I5068 / grave 40 (Inventory no. NHM 25.929),mathi2018a,Austria,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,NA,NA
I5069 / grave 55 (Inventory no. NHM 25.936),mathi2018a,Austria,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,NA,NA
I5070 / Ind. 58,mathi2018a,Austria,0,1,0,1,1,1,1,1,1,0.5,1.3,0,0,0,0,0,0,NA,NA
I5204 / Ind. 14/2,mathi2018a,Austria,0,1,0,1,1,1,1,1,1,0.5,1.3,0,0,0,0,0,0,NA,NA
I5205 / Ind. 52,mathi2018a,Austria,0,1,0,1,1,1,1,1,1,0.5,1.3,0,0,0,0,0,0,NA,NA
I5206 / Ind. 23,mathi2018a,Austria,0,1,0,1,1,1,1,1,1,0.5,1.3,0,0,0,0,0,0,NA,NA
